Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
107,smallpox_variolation_cowpox_inoculation_cowpox smallpox,"[0, 78]",78,cowpox_smallpox_cowpox smallpox_inoculation_wife,0,variolation_smallpox_living_small pox_son,0.9208566801696545
106,encephalitis_tick_tick borne_japanese_borne encephalitis,"[1, 8]",8,tick_tick borne_borne encephalitis_borne_encephalitis,1,japanese_japanese encephalitis_encephalitis_encephalitis vaccine_mouse,0.9180129639102349
105,adapted_cold adapted_cold_attenuated cold_strains,"[25, 36]",25,strains_wild_master strains_internal_reassortment,36,attenuated cold_cold adapted_trivalent_adapted_cold,0.9162526924259453
104,meningococcal_meningococcal conjugate_conjugate_conjugate vaccines_opin,"[28, 70]",28,meningococcal_blind controlled_jm_blind_group,70,meningococcal conjugate_opin ther_expert opin_vaccines expert_drugs meningococcal,0.9134906599713719
103,figure_age vaccination_vaccination figure_grand rapids_grand,"[62, 89]",89,age vaccination_vaccination figure_figure courtesy_courtesy_figure,62,grand rapids_rapids_grand_rapids public_rapids history,0.913215213201395
102,rubella_declared_eradication_rubella virus_declared eliminated,"[37, 74]",74,rubella_eradication_declared_smallpox_controlled major,37,rubella_rubella virus_embryo_kidney_maurice anton,0.9072037548500709
101,pneumococcal_pneumococcal conjugate_conjugate_m._prevention pneumococcal,"[18, 26]",26,pneumococcal_pneumococcal conjugate_prevention pneumococcal_conjugate vaccine_valent,18,pneumococcal_m._substance_pneumonia_pneumococcus,0.9058507118687918
100,derived_yeast_particles_plasma derived_plasma,"[11, 82]",82,plasma derived_derived_plasma_yeast_gene,11,derived vaccine_particles_vaccine recombinant_recombinant yeast_antigen particles,0.9029035689675319
99,anthrax_anthrax vaccine_bacillus_anthrax bacillus_human anthrax,"[9, 30]",30,anthrax_anthrax bacillus_bacillus_survive indefinitely_cultures anthrax,9,anthrax vaccine_anthrax_anthrax vaccines_protective antigen_human anthrax,0.9014103775217537
98,oral_cholera_oral cholera_cholera vaccine_live oral,"[22, 23]",22,live oral_tacket_oral cholera_oral_cholera vaccine,23,cholera_vaccines cholera_oral vaccines_killed_cholera vaccine,0.8997408011104182
97,rotavirus_intussusception_rotavirus vaccine_human rotavirus_event reporting,"[2, 24]",2,rotavirus_rotavirus vaccine_human rotavirus_bovine_gastroenteritis,24,intussusception_monovalent_vaccine adverse_reporting_vaccine intussusception,0.8992051750424351
96,adenovirus_respiratory_types adenovirus_types_respiratory disease,"[43, 56]",43,respiratory_respiratory disease_adenovirus_adenovirus vaccines_types adenovirus,56,adenovirus_selective infection_selective_types adenovirus_potency,0.8960015226657646
95,rabies_wiktor_rabies vaccine_rabies virus_diploid cell,"[42, 58]",42,rabies_rabid_bitten_meister_dog,58,rabies_wiktor_diploid cell_rabies virus_rabies vaccine,0.8933228428864698
94,typhoid vaccines_field trial_typhoid_field_ty21a,"[21, 55]",55,typhoid vaccines_controlled field_vaccines organ_field trial_field,21,ty21a_salmonella_oral typhoid_ty21a salmonella_vaccine coated,0.8828300028563828
93,yellow fever_yellow_theiler_fever_french strain,"[3, 67]",67,french strain_theiler_french_17d_sellards,3,yellow_yellow fever_fever_fever virus_theiler,0.8731126788887805
92,lyme_disease vaccine_outer surface_ospa_outer,"[27, 63]",27,disease vaccine_lyme disease_lyme_disease_lipo- protein,63,ospa_surface protein_outer surface_outer_protein ospa,0.8680721616383734
91,varicella_varicella vaccine_attenuated varicella_impact_impact varicella,"[35, 51]",51,varicella_varicella vaccine_attenuated varicella_live attenuated_long convoluted,35,varicella_impact_varicella vaccination_impact varicella_r tran,0.8249305832037745
